Date,Close,High,Low,Shares_Traded,Turnover
2016-10-19,8659.1,8698.75,8636.7,177397872.0,7790.01
2016-10-20,8699.4,8727.0,8678.3,165952091.0,7120.32
2016-10-21,8693.05,8709.1,8652.05,162162047.0,8022.44
2016-10-24,8708.95,8736.95,8684.15,161966274.0,6876.28
2016-10-25,8691.3,8722.65,8663.45,195696479.0,8718.02
2016-10-26,8615.25,8657.3,8596.6,226133074.0,9696.9
2016-10-27,8615.25,8624.85,8550.25,250336333.0,12300.53
2016-10-28,8638.0,8653.75,8581.75,180906084.0,8953.72
2016-10-30,8625.7,8678.25,8616.25,16610872.0,805.89
2016-11-01,8626.25,8669.6,8614.5,170068995.0,8441.3
2016-11-02,8514.0,8549.5,8504.85,160130480.0,7683.07
2016-11-03,8484.95,8537.65,8476.15,175773254.0,7558.06
2016-11-04,8433.75,8504.0,8400.25,231783152.0,11798.48
2016-11-07,8497.05,8535.85,8481.45,178070534.0,8436.7
2016-11-08,8543.55,8559.4,8480.1,201759648.0,8515.57
2016-11-09,8432.0,8476.2,8002.25,323968654.0,15536.37
2016-11-10,8525.75,8598.45,8510.7,271196930.0,12386.39
2016-11-11,8296.3,8460.6,8284.95,275221694.0,12485.11
2016-11-15,8108.45,8288.55,8093.2,370298063.0,17387.22
2016-11-16,8111.6,8210.05,8089.4,277801233.0,13705.03
2016-11-17,8079.95,8151.25,8060.3,197183084.0,8713.06
2016-11-18,8074.1,8128.95,8048.3,166199545.0,7901.64
2016-11-21,7929.1,8102.45,7916.4,225608889.0,9199.11
2016-11-22,8002.3,8019.05,7938.15,216677654.0,9000.44
2016-11-23,8033.3,8055.2,7973.1,186602328.0,8681.67
2016-11-24,7965.5,8024.85,7952.55,268619026.0,11868.11
2016-11-25,8114.3,8122.25,7976.75,183355873.0,8920.79
2016-11-28,8126.9,8146.5,8066.5,195595287.0,8666.87
2016-11-29,8142.15,8197.35,8128.7,195618384.0,8486.32
2016-11-30,8224.5,8234.25,8139.25,255725357.0,14473.78
2016-12-01,8192.9,8250.8,8185.05,162597213.0,7720.96
2016-12-02,8086.8,8159.3,8070.05,176767415.0,8050.5
2016-12-05,8128.75,8141.9,8056.85,130435865.0,6432.02
2016-12-06,8143.15,8178.7,8130.85,118854323.0,5417.56
2016-12-07,8102.05,8190.45,8077.5,175024334.0,7900.03
2016-12-08,8246.85,8256.25,8151.75,146857616.0,7275.01
2016-12-09,8261.75,8274.95,8241.95,154344775.0,6866.81
2016-12-12,8170.8,8230.65,8154.45,111432551.0,5026.02
2016-12-13,8221.8,8228.85,8155.8,189739559.0,8976.54
2016-12-14,8182.45,8229.4,8165.1,149132520.0,6763.63
2016-12-15,8153.6,8225.9,8121.95,187425988.0,8579.44
2016-12-16,8139.45,8178.7,8127.45,209268331.0,9854.07
2016-12-19,8104.35,8132.5,8094.85,110669713.0,5272.2
